text,text_en,cmp_code,eu_code,annotations
In den letzten Jahren sind die Reichen und Mächtigen unfassbar viel reicher und mächtiger geworden.,"In recent years, the rich and powerful have become incredibly richer and more powerful.",,,17. 11.3  
"Sie gehen direkt in die Ministerien und lassen Gesetze zu ihrem Vorteil ändern: um noch weniger Steuern zu zahlen, um harte Arbeit noch schlechter zu entlohnen oder um aus der Tatsache, dass wir alle Wohnungen, Strom und Gesundheitsversorgung brauchen, noch höhere Gewinne zu schlagen.","They go straight to the ministries and have laws changed to their advantage: to pay even less tax, to pay even less for hard work or to make even higher profits from the fact that we all need housing, electricity and healthcare.",,,18. 11.1  
"Unterdessen steigen die Rüstungsausgaben – auf Kosten von Wohnungsbau, Gesundheit und Pflege, Kitas, Schulen, Frauenhäusern, Bahn und Mobilität.","Meanwhile, military spending is rising - at the expense of housing, health and care, daycare centers, schools, women's shelters, railroads and mobility.",,,19. 11.1  
"Und damit wir das nicht merken, versuchen sie, uns zu spalten und Hass gegen einige von uns zu schüren.","And so that we don't notice, they are trying to divide us and stir up hatred against some of us.",,,20. 11.3  
"Die Profiteure unserer ungerechten Wirtschaftsordnung wollen über alles reden, nur nicht darüber, dass sie das Problem sind.",The profiteers of our unjust economic system want to talk about everything but the fact that they are the problem.,,,21. 11.2  
Aber wir müssen genau darüber sprechen.,But we need to talk about exactly that.,,,22. 11.2  
Für uns ist klar:,For us it is clear:,,,23. 11.2  
Die Spaltung der Gesellschaft in Arm und Reich ist eines der größten Probleme unserer Zeit.,The division of society into rich and poor is one of the biggest problems of our time.,,,24. 11.2  
"Wer nur darauf hoffen kann, dass die Waschmaschine, das Auto oder die eigene Gesundheit noch zwei Jahre durchhält, braucht jetzt Veränderung.","Anyone who can only hope that their washing machine, car or health will last another two years needs change now.",,,25. 11.2  
"Wer nicht weiß, wie er die nächste Mieterhöhung zahlen oder sein Kind unterbringen soll, dem helfen große Versprechungen nicht weiter.","If you don't know how you're going to pay the next rent increase or find a place for your child, big promises won't help.",,,26. 11.2  
"Wir wollen, dass niemand mehr Angst haben muss, bei der nächsten Mieterhöhung aus der Wohnung zu fliegen.",We don't want anyone to have to worry about being evicted from their home at the next rent increase.,,,27. 11.2  
Deswegen wollen wir einen bundesweiten Mietendeckel durchsetzen.,That's why we want to enforce a nationwide rent cap.,,,28. 11.2  
Dadurch können alle Menschen entspannt weiter zu Hause wohnen.,This will allow everyone to continue living at home in a relaxed manner.,,,29. 11.2  
"Wir wollen, dass niemand mehr am Monatsende vor einem leeren Kühlschrank steht: Deshalb wollen wir die Mehrwertsteuer auf Grundnahrungsmittel abschaffen und die Marktmacht von großen Supermarktketten brechen.",We want no one to be left with an empty fridge at the end of the month: That's why we want to abolish VAT on basic foodstuffs and break the market power of large supermarket chains.,,,30. 11.2  
Heiz- und Strompreise müssen wieder bezahlbar werden.,Heating and electricity prices must become affordable again.,,,31. 11.2  
Damit niemand sich zwischen einer warmen Mahlzeit und einer warmen Wohnung entscheiden muss.,So that nobody has to choose between a hot meal and a warm home.,,,32. 11.2  
"Wir wollen mehr Geld für die, die immer zu kurz kommen – allen voran Kinder und Familien.",We want more money for those who always miss out - above all children and families.,,,33. 11.2  
Deshalb kämpfen wir weiter für eine echte Kindergrundsicherung.,That is why we are continuing to fight for genuine basic child protection.,,,34. 11.2  
"Wir kämpfen dafür, dass Frauen endlich gleiches Geld für gleichwertige Arbeit bekommen.",We are fighting for women to finally receive equal pay for work of equal value.,,,35. 11.3  
"Und dafür, dass sie über ihre eigenen Körper bestimmen können und vor Gewalt geschützt werden.",And for them to be able to control their own bodies and be protected from violence.,,,36. 11.3  
Wir wollen höhere Renten und wirkliche Rentengerechtigkeit für alle.,We want higher pensions and real pension justice for all.,,,37. 11.1  
Ein Ende der Zwei-Klassen-Medizin und eine grundlegende Pflegereform sind überfällig.,An end to two-tier medicine and fundamental care reform are long overdue.,,,38. 11.3  
"Die Schuldenbremse muss weg und der Militärhaushalt muss sinken, damit wir heute und morgen in Bildung, Brücken, Bus und Bahn und die Wirtschaft investieren können.","The debt brake must go and the military budget must fall so that we can invest in education, bridges, buses and trains and the economy today and tomorrow.",,,39. 12.1  
Das System aus Schuldenverzicht und Verzicht auf Steuererhöhungen für Reiche hat zu öffentlicher Armut und einer Verwahrlosung der sozialen Infrastruktur geführt.,The system of debt waivers and tax increases for the rich has led to public poverty and neglect of the social infrastructure.,,,40. 12.1  
Damit muss Schluss sein.,This must come to an end.,,,41. 12.2  
"Es kann nicht sein, dass wir die Heizung zu Hause runterdrehen müssen, während andere munter mit ihren Privatjets nach Sylt fliegen.",It is unacceptable that we have to turn down the heating at home while others happily fly to Sylt in their private jets.,,,42. 11.2  
Die Klimakrise bedroht unsere Zukunft und unser Leben.,The climate crisis threatens our future and our lives.,,,43. 11.2  
Die vergangenen Regierungen haben sie weder wirksam noch sozial bearbeitet.,Past governments have not dealt with it effectively or socially.,,,44. 12.2  
"Wir wollen eine ganz andere Klimapolitik, bei der die Konzerne und alle anderen, die mit der Zerstörung unserer Lebensgrundlagen Profite machen, besonders in die Pflicht genommen werden – und nicht die große Mehrheit, der am Ende des Monats immer weniger von ihrem Lohn bleibt.","We want a completely different climate policy in which the corporations and all others who make profits from the destruction of our livelihoods are held particularly accountable - and not the vast majority, who are left with less and less of their wages at the end of the month.",,,45. 13.1  
"Reichtum für uns alle heißt auch, dass wir unsere Liebsten sehen können, sooft wir wollen.",Wealth for all of us also means that we can see our loved ones as often as we want.,,,46. 13.1  
Darum möchten wir mehr Busse und Bahnen zu möglichst niedrigen Preisen.,That's why we want more buses and trains at the lowest possible prices.,,,47. 13.1  
"Darüber hinaus brauchen wir einen schnelleren Ausbau erneuerbarer Energien für eine günstige Versorgung und einen Umbau der Wirtschaft, der Arbeitsplätze schützt und nicht Profite.","In addition, we need a faster expansion of renewable energies for an affordable supply and a restructuring of the economy that protects jobs and not profits.",,,48. 11.2  
Wir stehen zum Recht auf Asyl – ohne Wenn und Aber.,We stand by the right to asylum - without ifs and buts.,,,49. 10.1  
"Wir wollen keine Festung Europa, die Menschen im Mittelmeer ertrinken oder in der Wüste verdursten lässt.",We do not want a Fortress Europe that allows people to drown in the Mediterranean or die of thirst in the desert.,,,50. 13.2  
"Wir wollen sichere, legale Fluchtwege und mehr Geld für die Kommunen.","We want safe, legal escape routes and more money for local authorities.",,,51. 13.2  
"Alle Menschen müssen bei uns die gleichen Rechte und Chancen haben, unabhängig von Pass und Herkunft.","All people must have the same rights and opportunities here, regardless of their passport and origin.",,,52. 13.2  
Und ja:,And yes:,,,53. 11.1  
"Wir halten an der Perspektive fest, dass Abrüstungsverträge, Kooperation, Diplomatie und friedliche Konfliktlösung der richtige Weg sind, um Sicherheit zu schaffen und globale Probleme zu lösen.","We adhere to the perspective that disarmament treaties, cooperation, diplomacy and peaceful conflict resolution are the right way to create security and solve global problems.",,,54. 11.1  
Die geplante Stationierung von Mittelstreckenraketen in Deutschland macht ganz Europa unsicherer.,The planned stationing of medium-range missiles in Germany makes the whole of Europe less secure.,,,55. 11.1  
"Wir widersetzen uns der militaristischen Zeitenwende, weil wir wissen: Aufrüstung wirkt sich immer zulasten des Sozialen aus.",We oppose the militaristic turnaround because we know: Rearmament always works to the detriment of the social.,,,56. 11.3  
Wir wollen das Land gerechter machen.,We want to make the country fairer.,,,57. 11.3  
Wir verteidigen die Demokratie und wollen mehr Mitbestimmung.,We defend democracy and want more co-determination.,,,58. 11.3  
"Aber wir sagen auch: Unsere Demokratie muss besser funktionieren, vor allem für die, die keine teuren Lobbyorganisationen haben.","But we also say that our democracy must function better, especially for those who do not have expensive lobby organizations.",,,59. 11.3  
"Deshalb brauchen wir eine andere Wirtschaftspolitik, damit verantwortungsvoll gearbeitet, produziert und investiert wird, und damit das, was wir gemeinsam erarbeiten, auch fair verteilt wird.","That's why we need a different economic policy, so that people work, produce and invest responsibly and so that what we earn together is distributed fairly.",,,60. 11.1  
"Politik, die einige wenige immer reicher macht, zeugt – entgegen aller Beteuerungen – nicht von Wirtschaftskompetenz, sondern ist schlicht Lobbyismus im Sinne der Superreichen.","Policies that make a few richer and richer are - despite all assurances - not evidence of economic competence, but are simply lobbying in the interests of the super-rich.",,,61. 11.1  
Wir wollen hohe Einkommen stärker besteuern und niedrige entlasten.,We want to tax high incomes more heavily and reduce the burden on low incomes.,,,62. 11.1  
Und große private Kapitalvermögen müssen endlich gerecht besteuert werden.,And large private capital assets must finally be taxed fairly.,,,63. 11.1  
Wir alle sind „systemrelevant“ – nur Milliardäre sind es nicht.,"We are all ""systemically relevant"" - only billionaires are not.",,,64. 11.1  
"Niemand von uns wird jemals Milliardär, aber wir alle sind irgendwann im Leben auf Unterstützung angewiesen.","None of us will ever become a billionaire, but we will all need support at some point in our lives.",,,65. 11.1  
Für uns Linke ist klar:,"For us on the left, that is clear:",,,66. 10.1  
"Wir stehen bedingungslos an der Seite der arbeitenden Menschen und all derer, denen das Geld kaum zum Leben reicht und die keine Lobby haben.",We stand unconditionally on the side of working people and all those for whom money is barely enough to live on and who have no lobby.,,,67. 11.3  
Kurz: an der Seite der Mehrheit dieser Gesellschaft.,In short: on the side of the majority of this society.,,,68. 11.1  
An ihren Prioritäten richten wir unsere Politik aus.,We align our policies with their priorities.,,,69. 11.1  
"Noch ein Wort zu uns, Heidi und Jan: Wir haben die Spitzenkandidatur für Die Linke übernommen, weil wir überzeugt sind, dass es eine Partei braucht, die eine laute Stimme für diejenigen ist, die sonst niemand hört.","A word about us, Heidi and Jan: We have taken on the top candidacy for Die Linke because we are convinced that there is a need for a party that is a loud voice for those who no one else hears.",,,70. 11.1  
Die den Finger in die Wunde legt und die Ungleichheit aufzeigt.,One that puts its finger in the wound and highlights inequality.,,,71. 11.1  
"Wir glauben, dass mehr möglich ist.",We believe that more is possible.,,,72. 11.1  
"Dass das noch nicht alles gewesen sein kann – für Die Linke, für das Land, für Euch.","That this cannot be the end of the story - for Die Linke, for the country, for you.",,,73. 11.1  
"Wir glauben, dass der Kapitalismus nicht das Ende der Geschichte ist und die Demokratie es wert ist, verteidigt zu werden.",We believe that capitalism is not the end of history and that democracy is worth defending.,,,74. 11.1  
Wir kämpfen für den demokratischen Sozialismus.,We are fighting for democratic socialism.,,,75. 10.1  
"Allein sind wir den Reichen und Mächtigen ausgeliefert, aber gemeinsam können wir uns wehren.","Alone we are at the mercy of the rich and powerful, but together we can fight back.",,,76. 10.1
Deswegen müssen wir uns zusammenschließen und gemeinsam für unsere Anliegen eintreten.,That is why we must unite and stand up for our concerns together.,,,1  
Unsere Leitlinie heißt: Wir gemeinsam gegen die da oben.,Our guiding principle is: We together against those at the top.,,,2  
Eure,Yours,,,1  
Heidi & Jan,Heidi & Jan,,,1  
1. Leben bezahlbar machen,1. make life affordable,H,,1  
Drei Jahre Ampel-Ausfall haben Deutschland noch sozial ungerechter gemacht als zuvor.,Three years of traffic light failure have made Germany even more socially unjust than before.,503,,1  
Das Leben ist für die Mehrheit teurer geworden.,Life has become more expensive for the majority.,503,,1  
Die Preisexplosion hat besonders Menschen mit niedrigem und mittlerem Einkommen getroffen.,The price explosion has particularly affected people on low and middle incomes.,503,,1  
"Sie müssen einen großen Teil ihres Einkommens für Wohnen, Energie und Lebensmittel ausgeben.","They have to spend a large proportion of their income on housing, energy and food.",503,,1  
"Hier sind die Preise am meisten gestiegen: Unter Olaf Scholz sind Lebensmittel über 30 Prozent teurer geworden, Haushaltsenergie um etwa 50 Prozent.","This is where prices have risen the most: Under Olaf Scholz, food has become over 30 percent more expensive, household energy by around 50 percent.",503,,1  
"Die offiziellen Inflationszahlen verdecken, dass die Inflation für die mit weniger Geld viel höher liegt als für die mit viel Geld.",The official inflation figures conceal the fact that inflation is much higher for those with less money than for those with a lot of money.,503,,1  
"Es ist eine Inflation der Ungleichheit, die wir erleben.",We are experiencing an inflation of inequality.,503,,1  
Doch das lässt sich ändern: Preise sind nicht naturgegeben.,But that can be changed: Prices are not natural.,412,,1  
"Wir wollen Preise – wo nötig –regulieren und begrenzen, damit die Konzerne ihre Profite nicht beliebig erhöhen können.",We want to regulate and limit prices where necessary so that corporations cannot increase their profits at will.,412,,1  
"Das gilt nicht nur für die Miete, sondern auch für Energie und Lebensmittel.","This applies not only to rent, but also to energy and food.",412,,1  
Niemand soll am Ende des Monats Angst vor dem Einkauf haben.,No one should have to worry about shopping at the end of the month.,503,,1  
Willkürliche Preiserhöhungen darf es bei grundlegenden Bedürfnissen nicht geben.,There must be no arbitrary price increases for basic necessities.,412,,1  
"Wir schlagen eine Preisaufsicht und soziale Tarife für den Grundverbrauch bei Strom und Gas vor, um uns künftig vor Preistreiberei zu schützen.",We are proposing price controls and social tariffs for basic electricity and gas consumption to protect us from price hikes in future.,412,,1  
"Auf Grundnahrungsmittel soll die Mehrwertsteuer entfallen, was alle Menschen schnell und unkompliziert entlastet.","VAT should be abolished on basic foodstuffs, which would provide quick and uncomplicated relief for everyone.",403,,1  
Die steigenden Lebenshaltungskosten sind kein unglücklicher Zufall: Lebensmittel- und Energiekonzerne machen Rekordgewinne.,The rising cost of living is no unfortunate coincidence: food and energy companies are making record profits.,503,,1
Die Unternehmen nutzen die Inflation.,Companies are taking advantage of inflation.,503,,1. 10  
Sie setzen die Preise hoch – und steigern damit ihre Gewinne.,They are raising prices - and thus increasing their profits.,503,,2. 10  
"Dieter Schwarz, Eigentümer von Lidl und Kaufland, hat sein privates Vermögen in den letzten sieben Jahren verdoppelt!","Dieter Schwarz, owner of Lidl and Kaufland, has doubled his private fortune in the last seven years!",503,,3. 10  
"Er besitzt nach Schätzungen des Manager Magazins nun 43,7 Milliarden Euro.","According to estimates by Manager Magazin, he now owns 43.7 billion euros.",503,,4. 10  
Wir senken die Lebenshaltungskosten – sofort und wirkungsvoll,We reduce the cost of living - immediately and effectively,H,,5. 10  
Sparen beginnt für viele Menschen inzwischen beim Essen.,"For many people, saving now starts with food.",503,,6. 10  
Oft reicht es nicht mehr für das Nötigste.,Often it is no longer enough for the bare essentials.,503,,7. 10  
Besonders betroffen sind Menschen mit niedrigem Einkommen und Familien mit Kindern.,People on low incomes and families with children are particularly affected.,503,,8. 10  
Hunger und Armut sind in Deutschland wieder Alltag.,Hunger and poverty are once again part of everyday life in Germany.,503,,9. 10  
"Zwei Millionen Menschen müssen zu den Tafeln gehen, um über die Runden zu kommen.",Two million people have to go to the food banks to make ends meet.,503,,10. 10  
Ein Viertel davon sind Kinder.,A quarter of them are children.,503,,11. 10  
Für uns ist das nicht hinnehmbar.,"For us, this is unacceptable.",503,,12. 10  
"Wir wollen schnelle und wirkungsvolle Maßnahmen ergreifen, damit eine gesunde Ernährung wieder für alle erschwinglich wird.",We want to take quick and effective measures to make healthy food affordable for everyone again.,503,,13. 10  
"Nicht nur Wohnen, Lebensmittel und Energie sind viel zu teuer geworden.","It's not just housing, food and energy that have become far too expensive.",503,,14. 10  
"Auch Kosten für Alltägliches, wie für den Regionalzug, für Kino und Sport, sind stark gestiegen.","Costs for everyday items such as regional trains, movies and sports have also risen sharply.",503,,15. 10  
Das belastet vor allem Menschen mit niedrigem Einkommen und Familien.,This is a particular burden for people on low incomes and families.,503,,16. 10  
Wir wollen der Teuerung entgegenwirken:,We want to counteract the rise in prices:,403,,17. 10  
"Grundnahrungsmittel, Hygieneprodukte, Bus und Bahn (Regional- und Fernverkehr) wollen wir von der Mehrwertsteuer befreien.","We want to exempt basic foodstuffs, hygiene products, buses and trains (regional and long-distance transport) from VAT.",403,,18. 10  
"Wir stellen gesetzlich sicher, dass sich die Mehrwertsteuersenkung in den Preisen niederschlägt – und nicht die Profite der Unternehmen füttert.",We will ensure by law that the VAT reduction is reflected in prices - and does not feed corporate profits.,403,,19. 10  
"Das ist ein Beitrag zu sozialer Gerechtigkeit,","This is a contribution to social justice,",503,,20. 10  
macht das Leben sicherer,makes life safer,503,,21. 10  
und stärkt die Kaufkraft.,and strengthens purchasing power.,409,,22. 10  
Darüber hinaus senken wir den Preis für das Deutschlandticket wieder auf 9 Euro.,We are also reducing the price of the Deutschlandticket back to 9 euros.,412,,23. 10  
"Für Schüler*innen, Azubis, Senior*innen und Studierende soll das Deutschlandticket kostenlos sein.","The Deutschlandticket should be free of charge for school pupils, trainees, senior citizens and students.",503,,24. 10  
Lebensmittelverschwendung soll verboten werden.,Food waste should be banned.,416.2,,25. 10  
Genießbare Lebensmittel sind an gemeinnützige Organisationen weiterzugeben oder direkt kostenfrei abzugeben.,Edible food is to be passed on to charitable organizations or given away directly free of charge.,503,,26. 10  
Der Umfang der Lebensmittelabfälle soll bis 2030 halbiert werden.,The amount of food waste should be halved by 2030.,416.2,,27. 10  
Dafür braucht es verbindliche Vorgaben für die unterschiedlichen Branchen.,This requires binding guidelines for the various sectors.,416.2,,28. 10  
Wir wollen Spekulation mit Lebensmitteln verbieten (Kapitel 6).,We want to ban speculation with food (Chapter 6).,403,,29. 10  
Der Lebensmittelmarkt braucht gerechte Lieferbeziehungen,The food market needs fair supply relationships,403,,30. 10  
sowie ein starkes und wirksames Kartellrecht.,as well as strong and effective antitrust law.,403,,31. 10  
Das Bundeskartellamt beobachtet die Einkaufsmacht von Lebensmittelkonzernen sowie die Marktmacht von großen Supermarktketten seit Langem mit zunehmender Sorge.,The Federal Cartel Office has been observing the purchasing power of food corporations and the market power of large supermarket chains with increasing concern for a long time.,403,,32. 10  
"Wir fordern ein entschlossenes Durchgreifen, um die Macht von Konzernen zu brechen, zugunsten von Landwirt*innen",We are calling for decisive action to break the power of corporations for the benefit of farmers,703.1,,33. 10  
und Verbraucher*innen gleichermaßen.,and consumers alike.,403,,34. 10
Keine Region darf von einzelnen Supermarktketten dominiert werden.,No region should be dominated by individual supermarket chains.,403,,1. 1.1  
Monopole müssen zerschlagen werden,Monopolies must be broken up,403,,2. 1.1  
und Preiswächter müssen durchgreifen können.,and price watchdogs must be able to take action.,412,,3. 2.1  
"Wo es nötig ist, wollen wir mit Mindesterzeugerpreisen Landwirt*innen schützen.","Where necessary, we want to protect farmers with minimum producer prices.",703.1,,4. 1.2  
Wir senken die Energiepreise – gerecht und klimafreundlich,We are lowering energy prices - fairly and in a climate-friendly way,H,,5. 1.2  
Alle brauchen bezahlbare und stabile Energiepreise.,Everyone needs affordable and stable energy prices.,412,,6. 1.2  
Langfristig wird der Ausbau der erneuerbaren Energien die Preise für Strom und Wärme senken.,"In the long term, the expansion of renewable energies will lower prices for electricity and heat.",412,,7. 1.2  
"Aber so lange können Menschen mit kleinem Einkommen, Familien und auch Kleingewerbetreibende nicht warten.","But people on low incomes, families and small businesses cannot wait that long.",503,,8. 1.2  
"Wir fordern deshalb, kleine Energieverbraucher*innen kurzfristig zu entlasten:",We are therefore calling for relief for small energy consumers in the short term:,412,,9. 1.2  
Sozial gestaffelte Energiepreise: Wir wollen für den durchschnittlichen Verbrauch von Strom und Heizenergie preisgünstige Sockeltarife schaffen.,socially staggered energy prices: We want to create low-cost basic tariffs for the average consumption of electricity and heating energy.,412,,10. 3.1  
"Wer mehr verbraucht, zahlt mehr.",Those who consume more pay more.,503,,11. 3.1  
Das ist sozial gerecht,This is socially fair,503,,12. 3.1  
und regt trotzdem zum Energiesparen an.,and still encourages people to save energy.,416.2,,13. 4.1  
Zur Finanzierung fordern wir vorübergehend einen Energie-Soli für Reiche.,"To finance this, we are calling for a temporary energy tax for the rich.",503,,14. 4.1  
Menschen mit sehr hohen Einkommen profitieren von preisgünstigen Sockeltarifen – brauchen aber die Entlastung nicht.,People with very high incomes benefit from low-cost basic tariffs - but do not need the relief.,503,,15. 4.1  
"Für eine sozial gerechte Finanzierung fordert Die Linke deshalb einen Energie-Soli als Zuschlag auf die Einkommen- und Kapitalertragsteuer, bis die Energiekrise vorbei ist und der Marktpreis stabil unter dem Preisdeckel liegt.","For socially just financing, Die Linke is therefore calling for an energy tax credit as a surcharge on income and capital gains tax until the energy crisis is over and the market price is stable below the price cap.",503,,16. 1.3  
Die neoliberale Klimapolitik der Ampel ist zutiefst ungerecht und hat die Probleme für die Menschen noch verschärft.,The neoliberal climate policy of the traffic light government is deeply unjust and has exacerbated the problems for people.,503,,17. 2.2  
"Der versprochene soziale Ausgleich über ein Klimageld wurde nicht umgesetzt, obwohl die CO2-Preise weiter steigen.","The promised social compensation in the form of climate money has not been implemented, even though CO2 prices continue to rise.",503,,18. 1.3  
Das ist Betrug an den Wähler*innen.,That is cheating the voters.,305.1,,19. 2.2  
Die Linke will deshalb rückwirkend zum 1. Januar 2025 ein soziales Klimageld von 320 Euro jährlich pro Person als Direktzahlung einführen.,"The Left therefore wants to introduce a social climate money of 320 euros per person per year as a direct payment with retroactive effect from January 1, 2025.",503,,20. 1.4  
"Greenpeace hat berechnet, dass das aus den aktuellen CO2-Einnahmen finanzierbar ist.",Greenpeace has calculated that this can be financed from current CO2 revenues.,503,,21. 1.4  
Durch die Besteuerung des Klimagelds werden Haushalte mit kleinem und mittlerem Einkommen stärker entlastet.,Taxing the climate money will provide greater relief for low- and middle-income households.,503,,22. 1.4  
Das Klimageld wird zukünftig an die Entwicklung der CO2-Preise angepasst.,"In future, the climate money will be adjusted to the development of CO2 prices.",503,,23. 1.1  
"Jährlich werden gegen Hunderttausende Menschen in Deutschland Strom- und Gassperren verhängt, sogar im Winter.","Every year, electricity and gas cuts are imposed on hundreds of thousands of people in Germany, even in winter.",503,,24. 5.1
Das ist menschenunwürdig.,This is inhumane.,201.2,,1. 1.1  
Strom- und Gassperren müssen gesetzlich verboten werden.,Electricity and gas cuts must be banned by law.,503,,2. 1.2  
"Energiekonzerne dürfen sich nicht auf unsere Kosten bereichern: Ziel des Strommarktsystems muss es sein, allen Verbraucher*innen bezahlbaren Strom zur Verfügung zu stellen.",Energy companies must not be allowed to enrich themselves at our expense: The aim of the electricity market system must be to provide all consumers with affordable electricity.,403,,3. 1.3  
Wir wollen den Strommarkt reformieren (Kapitel 8).,We want to reform the electricity market (Chapter 8).,403,,4. 1.4  
Wir sorgen für stabile Preise und verhindern zukünftige Krisen,We ensure stable prices and prevent future crises,H,,5. 1.5  
"Um Preisschocks in Zukunft zu verhindern, braucht es Preiskontrollen, die schnell wirken und kurzfristig greifen.","To prevent price shocks in the future, we need price controls that work quickly and take effect in the short term.",412,,6. 1.6  
Die Ampel hat zunächst gar nicht und dann zu wenig wirksam auf die Preisexplosion reagiert und die Profite der Konzerne gesichert.,The traffic light initially did not react at all to the price explosion and then did not react effectively enough to safeguard the profits of the corporations.,412,,7. 1.7  
Die Menschen sind im Alltag nicht genug entlastet worden.,People's everyday lives have not been relieved enough.,503,,8. 1.8  
Wir müssen uns für die nächste Krise wappnen: Mit der Digitalisierung ist eine engmaschige Überwachung der Preise möglich.,We need to prepare for the next crisis: digitalization makes it possible to monitor prices closely.,412,,9. 1.9  
"Wenn Konzerne in systemrelevanten Branchen (Energie, Gebäude/Wohnen, Lebensmittelversorgung, Mobilität, Gesundheit, Banken) Preise deutlich stärker anheben, als die Kosten gestiegen sind, muss es möglich sein, kurzfristig in den Markt einzugreifen.","If corporations in systemically important sectors (energy, buildings/housing, food supply, mobility, healthcare, banks) raise prices significantly more than costs have risen, it must be possible to intervene in the market at short notice.",412,,10. 1.10  
"Auf Preisschocks muss reagiert werden, bevor sich diese auf andere Branchen ausweiten.",Price shocks must be reacted to before they spread to other sectors.,412,,11. 1.11  
Wir fordern eine neue Preisaufsicht als Frühwarnsystem für die deutsche und europäische Wirtschaft.,We are calling for new price supervision as an early warning system for the German and European economy.,412,,12. 2.1  
Die Preisaufsicht soll eine unabhängige oberste Bundesbehörde sein.,The price regulator should be an independent supreme federal authority.,412,,13. 2.2  
Im Energiesektor sollen ohne Genehmigung keine Preiserhöhungen vorgenommen werden dürfen.,No price increases should be allowed in the energy sector without approval.,412,,14. 2.3  
"Energieversorger müssen selbst nachweisen, dass eine Preiserhöhung aufgrund gestiegener Beschaffungskosten gerechtfertigt ist.",Energy suppliers themselves must prove that a price increase is justified due to increased procurement costs.,412,,15. 2.4  
Mit einer Übergewinnsteuer beseitigen wir Anreize für Preiserhöhungen: Beispielsweise haben Energie- und Lebensmittelkonzerne in Zeiten von Krieg und Krise durch enorme Preissteigerungen Rekordgewinne eingefahren.,"With an excess profit tax, we are removing incentives for price increases: For example, in times of war and crisis, energy and food companies have made record profits by increasing prices enormously.",403,,16. 2.5  
"Sie haben ihre Marktmacht ausgenutzt, um auf Kosten von uns allen Profite zu machen.",They have exploited their market power to make profits at the expense of us all.,403,,17. 2.6  
"Wenn plötzliche und außergewöhnliche Gewinnsprünge in Krisenzeiten, sogenannte Übergewinne, mit sehr hohen Steuersätzen belegt werden, gibt es keinen Anreiz mehr, die Preise weiter in die Höhe zu treiben.","If sudden and extraordinary jumps in profits in times of crisis, so-called excess profits, are subject to very high tax rates, there is no longer any incentive to drive prices up further.",403,,18. 3.1  
"Wir fordern eine Übergewinnsteuer, die die Extragewinne der Konzerne mit 90 Prozent besteuert.",We are calling for an excess profits tax that taxes the extra profits of corporations at 90 percent.,403,,19. 3.2  
"Als Vergleichszeitraum bieten sich die durchschnittlichen Unternehmensgewinne der letzten zehn Jahre an: Alles, was darüber liegt, wird besteuert.",The average corporate profits of the last ten years are a good basis for comparison: Anything above this would be taxed.,403,,20. 3.3  
"Damit die Gewinne auch effektiv besteuert werden können, wollen wir eine Quellensteuer einführen und Steueroasen trockenlegen.","To ensure that profits can be effectively taxed, we want to introduce a withholding tax and dry up tax havens.",403,,21. 3.4  
Unsere Politik macht das Leben der Menschen wieder bezahlbar.,Our policy will make people's lives affordable again.,503,,22. 3.5  
