text,text_en,cmp_code,eu_code,annotations
Für eine gute Gesundheitsversorgung überall87,For good healthcare everywhere87,,,Error_not_all_lines_annotated
Für eine verlässliche und würdige Pflege91,For reliable and dignified care91,,,Error_not_all_lines_annotated
Für eine solidarische Kranken- und Pflegeversicherung93,For solidarity-based health and long-term care insurance93,,,Error_not_all_lines_annotated
Für eine vorausschauende Gesundheitspolitik94,For a forward-looking healthcare policy94,,,Error_not_all_lines_annotated
Für eine zukunftsfeste und würdige Rente97,For a future-proof and dignified pension97,,,Error_not_all_lines_annotated
Für verlässliche soziale Sicherung99,For reliable social security99,,,Error_not_all_lines_annotated
KAPITEL 3,CHAPTER 3,,,Error_not_all_lines_annotated
Frieden in Freiheit sichern - innen und außen,Securing peace in freedom - internally and externally,,,Error_not_all_lines_annotated
Eine lebendige Demokratie105,A vibrant democracy105,,,Error_not_all_lines_annotated
Für demokratischen Zusammenhalt105,For democratic cohesion105,,,Error_not_all_lines_annotated
"Für eine Erinnerung, die uns wach hält106",For a memory that keeps us awake106,,,Error_not_all_lines_annotated
Für handlungsfähige Kommunen108,For effective municipalities108,,,Error_not_all_lines_annotated
Für eine starke demokratische Gesellschaft109,For a strong democratic society109,,,Error_not_all_lines_annotated
Für die Unterstützung von freiwilligem Engagement111,For the support of voluntary engagement111,,,Error_not_all_lines_annotated
"Für Sport, der verbindet112",For sport that unites112,,,Error_not_all_lines_annotated
Für eine handlungsfähige Justiz in unserem Rechtsstaat113,For an effective judiciary in our constitutional state113,,,Error_not_all_lines_annotated
Für digitale Bürger*innenrechte114,For digital civil rights114,,,Error_not_all_lines_annotated
Für eine vielfältige Gesellschaft ohne Diskriminierung115,For a diverse society without discrimination115,,,Error_not_all_lines_annotated
Für Frauenrechte118,For women's rights118,,,Error_not_all_lines_annotated
Für Selbstbestimmung120,For self-determination120,,,Error_not_all_lines_annotated
Für queeres Leben: sicher und selbstbestimmt121,For queer life: safe and self-determined121,,,Error_not_all_lines_annotated
Für gleichberechtigte Teilhabe von Menschen mit Behinderung und eine inklusive Gesellschaft122,For equal participation of people with disabilities and an inclusive society122,,,Error_not_all_lines_annotated
Für lebendige Kunst und Kultur124,For vibrant art and culture124,,,Error_not_all_lines_annotated
Für die Gestaltung der Einwanderungsgesellschaft126,For shaping the immigration society126,,,Error_not_all_lines_annotated
"Für ein Land, das Schutz bietet129",For a country that offers protection129,,,Error_not_all_lines_annotated
Für eine europäische und internationale Flucht- und Migrationspolitik130,For a European and international refugee and migration policy130,,,Error_not_all_lines_annotated
Ein Leben in Sicherheit133,A life in safety133,,,Error_not_all_lines_annotated
Für gute Polizeiarbeit gegen Kriminalität133,For good police work against crime133,,,Error_not_all_lines_annotated
Für einen verstärkten Einsatz gegen Organisierte Kriminalität134,For increased action against organized crime134,,,Error_not_all_lines_annotated
Für eine klare Kante gegen Geldwäsche und organisierten Steuerbetrug135,For a clear stance against money laundering and organized tax fraud135,,,Error_not_all_lines_annotated
Für ein entschiedenes Vorgehen gegen Extremismus und Terror136,For decisive action against extremism and terror136,,,Error_not_all_lines_annotated
Für einen krisenfesten Bevölkerungsschutz138,For crisis-proof civil protection138,,,Error_not_all_lines_annotated
Für die Verbindung von innerer und äußerer Sicherheit139,For the combination of internal and external security139,,,Error_not_all_lines_annotated
Für IT-Sicherheit und gegen systematische Desinformation140,For IT security and against systematic disinformation140,,,Error_not_all_lines_annotated
Für die Verteidigung von Frieden und Freiheit141,For the defense of peace and freedom141,,,Error_not_all_lines_annotated
Eine starke Europäische Union142,A strong European Union142,,,Error_not_all_lines_annotated
"Für eine EU, die unsere Demokratie verteidigt142",For an EU that defends our democracy142,,,Error_not_all_lines_annotated
Für eine handlungsfähige EU143,For an EU capable of action143,,,Error_not_all_lines_annotated
"Außen-, Sicherheits- und Entwicklungspolitik in Verantwortung145","A responsible foreign, security and development policy145",,,Error_not_all_lines_annotated
Für eine aktive Außenpolitik145,For an active foreign policy145,,,Error_not_all_lines_annotated
Für einen zukunftsfesten Multilateralismus149,For a future-proof multilateralism149,,,Error_not_all_lines_annotated
Für Menschenrechte und demokratische Entwicklung150,For human rights and democratic development150,,,Error_not_all_lines_annotated
Für die Sicherheit und Frieden in Europa und der Welt152,For security and peace in Europe and the world152,,,Error_not_all_lines_annotated
"Für eine moderne, verteidigungsfähige Bundeswehr153","For a modern, defensible Bundeswehr153",,,Error_not_all_lines_annotated
Für globalen Klimaschutz155,For global climate protection155,,,Error_not_all_lines_annotated
Für starke Partnerschaften und internationale Gerechtigkeit156,For strong partnerships and international justice156,,,Error_not_all_lines_annotated
Präambel,Preamble,H,,Error_not_all_lines_annotated
"Bei den Bundestagswahlen am 23. Februar stehen Sie, liebe Bürgerinnen und Bürger, vor einer wichtigen Entscheidung.","In the Bundestag elections on February 23, you, dear citizens, will be faced with an important decision.",000,,Error_not_all_lines_annotated
"Es geht darum, wer für unser Land in dieser herausfordernden Zeit Regierungsverantwortung trägt.",It is a question of who will bear government responsibility for our country in these challenging times.,000,,Error_not_all_lines_annotated
"Jetzt kommt es auf die Kraft unseres Zusammenlebens an, in dem die Menschen auch in diesen herausfordernden Zeiten so viel einbringen und leisten.","What matters now is the strength of our coexistence, in which people contribute and achieve so much even in these challenging times.",606.1,,Error_not_all_lines_annotated
"Wir nehmen diese Kraft als Auftrag an die Politik, unser Land für alle Menschen in den kommenden Jahren besser, gerechter und einfacher zu machen.","We take this strength as a mandate to politicians to make our country better, fairer and simpler for everyone in the coming years.",503,,Error_not_all_lines_annotated
"Als Auftrag, dass es hier einfach funktioniert",As a mandate to ensure that things simply work here,303,,Error_not_all_lines_annotated
und der Alltag bezahlbar ist.,and that everyday life is affordable.,503,,Error_not_all_lines_annotated
"Als Auftrag, unsere Verantwortung in einer kommenden Regierung wahrzunehmen.",As a mandate to assume our responsibility in the next government.,305.1,,1. Preamble
Deutschland hat viele große Stärken.,Germany has many great strengths.,601.1,,2. Politics-Elections
"Mit der Kraft von Ihnen, den Bürgerinnen und Bürgern, die den Laden jeden Tag trotz der großen Herausforderungen am Laufen halten.","With the strength of you, the citizens, who keep the store running every day despite the major challenges.",606.1,,3. Politics-Government Responsibility
Auf der Arbeit.,At work.,701,,4. Society-Coexistence
In der Familie.,In the family.,603,,5. Politics-Mandate
Im Ehrenamt.,In voluntary work.,606.1,,6. Politics-Mandate
Mit viel Engagement und Einsatz.,With a great deal of commitment and dedication.,606.1,,7. Society-Affordability
Mit einem starken Sozialstaat,With a strong welfare state,504,,8. Politics-Mandate
und erfolgreichen Unternehmen nicht zuletzt im Mittelstand.,"and successful companies, not least in the SME sector.",402,,9. Society-Strengths
"Mit Anstrengung und Innovation,","With effort and innovation,",411,,10. Society-Citizens
Vielfalt,diversity,503,,11. Society-Work
und Solidarität.,and solidarity.,606.1,,12. Society-Family
Es ist auch die Kraft unseres Landes als Einwanderungsland.,It is also the strength of our country as a country of immigration.,602.2,,13. Society-Volunteering
"Viele Menschen tragen hier seit vielen Generationen zu unserem gemeinsamen Wohlstand bei,","Many people have been contributing to our shared prosperity here for many generations, making",410,,14. Society-Commitment
bringen sich ein,a contribution,606.1,,15. Politics-Welfare State
und gestalten unser Zusammenleben mit.,and helping to shape our life together.,606.1,,16. Economy-SME Sector
"Es geht jetzt darum, diese Kraft als Zukunftskraft aufzunehmen: ökologisch und ökonomisch,","It is now a matter of embracing this strength as a force for the future: ecologically and economically,",416.2,,17. Economy-Innovation
solidarisch,in solidarity,606.1,,18. Society-Diversity
und europäisch.,and on a European level.,108,,19. Society-Solidarity
"Als Kraft, die sich den Herausforderungen stellt und die Probleme löst.",As a force that faces up to the challenges and solves the problems.,606.1,,20. Society-Immigration
"Mit einer Zuversicht, die aus dem gemeinsamen Handeln und mit Blick auf eine gelingende Zukunft kommt.",With a confidence that comes from joint action and with a view to a successful future.,606.1,,21. Society-Contribution
Denn die Herausforderungen in dieser Zeit sind groß.,Because the challenges at this time are great.,503,,22. Society-Contribution
Viele Menschen stehen unter Druck und haben Sorgen.,Many people are under pressure and have worries.,503,,23. Society-Cooperation
"Die Preise sind gestiegen und der Lohn der eigenen Arbeit wurde für viele durch Miete, Heizen und die nötigsten Ausgaben aufgebraucht.","Prices have risen and for many, their own wages have been used up by rent, heating and the most necessary expenses.",503,,24. Environment-Ecology
Unser Frieden ist durch Putins Angriffskrieg bedroht.,Our peace is threatened by Putin's war of aggression.,106,,25. Society-Solidarity
Autoritarismus und Populismus sind eine zunehmende Bedrohung für Demokratie und Gesellschaft auch in Deutschland.,Authoritarianism and populism are a growing threat to democracy and society in Germany too.,202.1,,26. Politics-Europe
Immer mehr Menschen sind mit Hass und Anfeindungen konfrontiert.,More and more people are confronted with hatred and hostility.,605.1,,27. Politics-Problem Solving
"Hass und Gewalt gegen marginalisierte Gruppen, Rassismus, Antisemitismus und Queerfeindlichkeit nehmen zu.","Hatred and violence against marginalized groups, racism, anti-Semitism and queer hostility are on the rise.",605.1,,28. Politics-Confidence
"Die Klimakrise verschärft sich - trotz des Einsatzes vieler - weiter,",The climate crisis continues to worsen - despite the efforts of many -,501,,29. Society-Challenges
"und die Natur, in der wir leben, wird weiter zerstört.",and the natural environment in which we live continues to be destroyed.,501,,30. Society-Pressure
"Verspätete Züge,","Delayed trains,",411,,31. Economy-Cost of Living
Fachkräftemangel in den Kitas,a shortage of skilled workers in daycare centers,504,,32. Politics-International Conflict
und Papierkrieg mit den Ämtern zehren an den Nerven.,and paperwork with the authorities are wearing on our nerves.,303,,33. Politics-Threats to Democracy
Ein jahrelanger Stillstand gefolgt vom Dauerkonflikt innerhalb der Ampelregierung hat Vertrauen in die Politik insgesamt gekostet.,Years of stagnation followed by constant conflict within the traffic light government have cost trust in politics as a whole.,202.1,,34. Society-Hostility
"Eine Politik, die Probleme löst und die Dinge zum Besseren wendet, kann nur gelingen, wenn sie den Bürgerinnen und Bürgern zuhört.",A policy that solves problems and changes things for the better can only succeed if it listens to citizens.,202.1,,35. Society-Discrimination
"Wenn sie nicht über die Menschen redet, sondern mit ihnen - so wie das jeden Tag überall im Land an unseren Küchen- und Esstischen geschieht.","If it doesn't talk about the people, but with them - as happens every day at our kitchen and dining tables throughout the country.",202.1,,36. Environment-Climate Crisis
Wir haben in den vergangenen drei Jahren unsere Regierungsverantwortung wahrgenommen.,"Over the past three years, we have fulfilled our responsibility to govern.",305.1,,37. Environment-Nature Protection
In anspruchsvollen Jahren mit neuen Krisen.,In challenging years with new crises.,305.1,,38. Society-Infrastructure Issues
In einer schwierigen Regierungskonstellation.,In a difficult government constellation.,305.1,,39. Society-Labor Market
Daraus haben wir auch vieles gelernt.,We have also learned a lot from this.,305.1,,40. Society-Bureaucracy
"Wir haben die Jahre genutzt, um Schwung aufzunehmen und Probleme zu lösen.",We have used these years to build momentum and solve problems.,305.1,,41. Politics-Trust in Politics
"Probleme, die von Großen Koalitionen lange Jahre angehäuft wurden.",Problems that were accumulated by grand coalitions for many years.,305.1,,42. Politics-Listening to Citizens
Wir haben uns von der Abhängigkeit von Putin befreit.,We have freed ourselves from dependence on Putin.,109,,43. Politics-Dialogue
Wir haben den erneuerbaren Energien großen Rückenwind verliehen.,We have given renewable energies a major boost.,416.2,,44. Politics-Government Responsibility
Wir sind jetzt tatsächlich auf Kurs zum Erreichen der Pariser Klimaziele eingeschwenkt.,We are now actually on course to achieve the Paris climate targets.,501,,45. Politics-Crisis Management
Wir investieren in unsere deutsche und europäische Sicherheit,We are investing in our German and European security,104,,46. Politics-Government Constellation
und arbeiten an neuen Partnerschaften.,and working on new partnerships.,107,,47. Politics-Learning
"Wir haben angefangen, die Zukunftskraft unserer Wirtschaft zu stärken, durch mehr Fachkräfte, mehr Innovation und weniger Bürokratie.","We have started to strengthen the future power of our economy through more skilled workers, more innovation and less bureaucracy.",410,,48. Politics-Problem Solving
"Wir haben auch endlich wieder in den Erhalt der Natur investiert,","We have also finally invested again in the preservation of nature,",501,,49. Politics-Previous Government
in eine nachhaltige Landwirtschaft.,in sustainable agriculture.,703.1,,50. Politics-Energy Independence
Wir haben zum Erfolg des europäischen Green Deal beigetragen.,We have contributed to the success of the European Green Deal.,501,,51. Environment-Renewable Energy
Wir haben Kinder und Familien besser unterstützt.,We have provided better support for children and families.,504,,52. Environment-Climate Targets
"Wir werben deshalb dafür, den Weg der Erneuerung fortzusetzen, ihn nicht wieder mit Hürden zu verstellen oder gar rückzubauen - wie es schon einmal geschehen ist.","We are therefore campaigning to continue on the path of renewal, not to obstruct it again with hurdles or even dismantle it - as has happened before.",305.1,,53. Politics-Security
"Mit dem vorliegenden Programm machen wir deutlich, worauf es für unser Land jetzt ankommt.","With this program, we are making it clear what is important for our country now.",305.1,,54. Politics-Partnerships
Nehmen wir unsere ökologische und ökonomische Zukunft in die Hand!,Let's take our ecological and economic future into our own hands!,416.2,,55. Economy-Skills and Innovation
Wachsen wir in die Zukunft!,Let's grow into the future!,410,,56. Environment-Nature Preservation
Wir setzen in diesem Programm auf die Wirtschafts- und Innovationskraft unseres Landes.,"In this program, we are relying on our country's economic and innovative strength.",410,,57. Environment-Sustainable Agriculture
"Doch aus dem Zutrauen in die Wirtschaft erwächst zugleich der Auftrag, die Zukunftsblockaden zu lösen.","However, confidence in the economy also gives rise to the task of solving the obstacles to the future.",410,,58. Politics-European Green Deal
"Wir wollen, dass unsere Wirtschaft in die Zukunft wächst:",We want our economy to grow into the future:,410,,59. Society-Family Support
"klimaneutral, nachhaltig, innovativ, wettbewerbsfähig in einem gemeinsamen Europa.","climate-neutral, sustainable, innovative and competitive in a common Europe.",416.2,,60. Politics-Program Continuity
"Ihre Kraft können Unternehmen nur entfalten, wenn sie Raum bekommen für unkomplizierte und pragmatische Lösungen - und sich zugleich auf klare Ziele und Rahmensetzungen verlassen können.",Companies can only develop their strength if they are given room for uncomplicated and pragmatic solutions - and at the same time can rely on clear goals and frameworks.,410,,61. Politics-Program Focus
Das verlangt von der Politik: Kurs halten.,This requires politicians to stay on course.,410,,62. Environment-Economic Future
Verlässlichkeit herstellen.,Establish reliability.,410,,63. Society-Future Growth
Regeln und Normen vereinfachen.,Simplify rules and standards.,303,,64. Economy-Strength
Kurz: mehr ermöglichen.,In short: make more possible.,410,,65. Economy-Challenges
"Dabei kommt dem Schutz unseres Klimas, unserer Ökosysteme mit allen Pflanzen und Tieren herausragende Bedeutung zu.","The protection of our climate, our ecosystems with all their plants and animals is of paramount importance.",501,,66. Economy-Growth
"Nur wenn sie intakt sind, können unsere Sicherheit,","Only if they are intact can our security,",605.1,,67. Economy-Sustainability
unsere Freiheit,our freedom,201.1,,68. Economy-Business Environment
und unser Wohlstand intakt sein.,and our prosperity be intact.,410,,69. Politics-Policy Stability
"Verantwortung heißt, dem Rechnung zu tragen, heißt, die planetaren Grenzen einzuhalten.","Responsibility means taking this into account, it means respecting the planetary boundaries.",416.2,,70. Politics-Reliability
Und die notwendige Erneuerung solidarisch zu gestalten.,And to shape the necessary renewal in a spirit of solidarity.,606.1,,71. Politics-Regulation Simplification
"Jede und jeder mit den eigenen Möglichkeiten, Erfahrungen und Stärken.","Each and every one of us with our own possibilities, experience and strengths.",503,,72. Politics-Enabling
"Mit unserer Zukunftsagenda stellen wir die Weichen für Investition und Innovation,","With our agenda for the future, we are setting the course for investment and innovation,",411,,73. Environment-Climate Protection
"für Erneuerung in Fairness und Solidarität,","for renewal in fairness and solidarity,",503,,74. Society-Security
für Dynamik statt bürokratischer Lähmung.,for dynamism instead of bureaucratic paralysis.,410,,75. Society-Freedom
"Mit dem Deutschlandfonds werden wir in Bund, Ländern und Kommunen die notwendigen Mittel für die Investitionen in diese Zukunft mobilisieren.","With the Germany Fund, we will mobilize the necessary resources at federal, state and local level to invest in this future.",411,,76. Society-Prosperity
"Er stärkt unsere gemeinsamen Infrastrukturen, auf die Gesellschaft und Wirtschaft so dringend angewiesen sind.","It will strengthen our shared infrastructures, on which society and the economy are so urgently dependent.",411,,77. Environment-Responsibility
"Zu diesem Investitionsfonds schlagen wir einen „Pakt für ein modernes Deutschland“ vor - zu dem alle politischen Ebenen eingeladen sind: Bund, Länder und vor allem die Kommunen.","We are proposing a ""Pact for a Modern Germany"" for this investment fund - to which all political levels are invited: The federal government, the federal states and, above all, the local authorities.",411,,78. Society-Solidarity
"Verständigen wir uns in dieser Zeit neu, wie wir unser Land im Dienst der Menschen auf Vordermann bringen - zusammen und nicht gegeneinander!","At this time, let's come to a new agreement on how we can bring our country up to speed in the service of the people - together and not against each other!",606.1,,79. Society-Individual Contribution
Nehmen wir unsere soziale Zukunft in die Hand!,Let's take our social future into our own hands!,503,,80. Politics-Investment and Innovation
"Sorgen wir dafür, dass alle Menschen fair dabei sind",Let's make sure that everyone has a fair chance,503,,81. Politics-Renewal
und die Dinge des alltäglichen Lebens bezahlbar sind!,and that everyday necessities are affordable!,503,,82. Politics-Dynamism
Wir bauen in unserem Programm auf die soziale Kraft unseres Landes.,"In our program, we are building on the social strength of our country.",503,,83. Politics-Investment Fund
"Aus diesem Zutrauen in die Menschen erwächst für uns der Auftrag, einen ernsthaften Beitrag zu leisten, dass alle Menschen dabei sein können.",This trust in people gives rise to our mission to make a serious contribution to ensuring that everyone can participate.,503,,84. Society-Infrastructure
Und dass der Alltag bezahlbar bleibt.,And that everyday life remains affordable.,503,,85. Politics-Investment Pact
"Wir machen Strom billiger,","We make electricity cheaper,",412,,86. Politics-Cooperation
sorgen für erschwingliche Mobilität,ensure affordable mobility,411,,87. Society-Social Future
und bezahlbare Mieten.,and affordable rents.,403,,88. Society-Fairness
"Gute Bildung,","Good education,",506,,89. Society-Affordability
"gute Arbeit,","good work,",701,,90. Society-Social Strength
verlässliche Mobilität,reliable mobility,411,,91. Society-Participation
"und bezahlbares Wohnen sind die zentralen Faktoren, an denen sich die Lebenschancen der Menschen entscheiden.",and affordable housing are the key factors that determine people's opportunities in life.,503,,92. Society-Affordability
Ein faires Steuersystem ist dafür ebenso Voraussetzung,A fair tax system is just as essential for this,503,,93. Economy-Energy Costs
wie ein gutes Gesundheitssystem.,as a good healthcare system.,504,,94. Economy-Mobility
"Wir setzen uns mit Nachdruck dafür ein, dass unsere Kitas, Schulen und Hochschulen gestärkt werden.","We are strongly committed to strengthening our daycare centers, schools and universities.",506,,95. Society-Housing Affordability
Damit sie allen eine Chance auf einen guten Start ins Leben bieten.,So that they offer everyone the chance of a good start in life.,503,,96. Society-Education
"Wir unterstützen gute Arbeit durch faire Löhne,","We support good work through fair wages,",701,,97. Society-Work
"einen höheren Mindestlohn,",a higher minimum wage,412,,98. Society-Mobility
"und durch Gleichberechtigung für Frauen, besonders auf dem Arbeitsmarkt","and equal rights for women, especially in the labor market",503,,99. Society-Opportunities
und durch eine gerechte Steuerpolitik.,and through a fair tax policy.,503,,100. Politics-Tax System
Inklusion ist dafür ein Leitmotiv.,Inclusion is a guiding principle here.,503,,101. Society-Healthcare
"Und wir machen Wohnen bezahlbarer, indem wir Mietsteigerungen begrenzen, sozialen Wohnungsbau unterstützen und eine realistische Strategie für bedarfsgerechten Wohnraum in Bestand und Neubau vorlegen.","And we are making housing more affordable by limiting rent increases, supporting social housing construction and presenting a realistic strategy for needs-based housing in existing and new buildings.",412,,102. Society-Education Investment
Nehmen wir unsere gesellschaftliche und demokratische Zukunft in die Hand!,Let's take our social and democratic future into our own hands!,202.1,,103. Society-Education Opportunity
Sichern wir unseren Frieden in Freiheit!,Let's secure our peace in freedom!,106,,104. Society-Work Conditions
"Wir setzen in dem Programm auf die gesellschaftliche und demokratische Kraft der Bürgerinnen und Bürger unseres Landes, auf die Kraft unserer gemeinsamen Republik in ihrer Vielfalt.","In the program, we rely on the social and democratic strength of the citizens of our country, on the strength of our common republic in its diversity.",202.1,,105. Society-Minimum Wage
"Doch auch dieses demokratische Zutrauen in die Bürgerinnen und Bürger erfordert einen neuen Auftrag an die Politik, unsere demokratischen Institutionen und unser demokratisches Zusammenleben lebendig zu halten und zu stärken.",But this democratic confidence in our citizens also requires a new mandate for politicians to keep our democratic institutions and our democratic coexistence alive and to strengthen them.,202.1,,106. Society-Gender Equality
"Unsere demokratische Kraft entsteht, wenn Menschen sich als Gleiche begegnen, wenn aus dem freien Austausch unterschiedlicher Ansichten auf Grundlage wissenschaftlicher Erkenntnisse der Wettstreit um die bessere Lösung wird.","Our democratic strength arises when people meet as equals, when the free exchange of different views on the basis of scientific knowledge becomes a competition for the better solution.",202.1,,107. Politics-Tax Policy
Deshalb müssen wir unsere öffentlichen Räume stärken.,That is why we need to strengthen our public spaces.,202.1,,108. Society-Inclusion
"Die gemeinsamen Orte, an denen Übereinstimmung sichtbar wird und Unterschiede ausgetragen werden: eine gute Schule;",The common places where agreement becomes visible and differences are resolved: good schools;,506,,109. Society-Housing Policy
gute Arbeitsplätze;,good workplaces;,701,,110. Society-Democratic Future
eine starke und vielfältige Medienlandschaft;,a strong and diverse media landscape;,202.1,,111. Society-Peace and Freedom
"starke öffentliche Räume, die uns in Vielfalt verbinden,","strong public spaces that unite us in diversity,",606.1,,112. Society-Democratic Strength
Orte des Sports und der Kultur.,places of sport and culture.,502,,113. Politics-Democratic Mandate
All diese Orte sind die Voraussetzung unseres demokratischen Zusammenhalts in Vielfalt.,All of these places are the prerequisite for our democratic cohesion in diversity.,202.1,,114. Society-Democratic Cohesion
"Gerade weil die Stärke unseres Landes daraus entsteht, dass alle dazugehören, unabhängig von der Herkunft, brauchen wir auch eine neue Kraft der integrativen und inklusiven Gesellschaft.","Precisely because the strength of our country comes from the fact that everyone belongs, regardless of origin, we also need a new force for an integrative and inclusive society.",503,,115. Society-Public Spaces
Was wir damit meinen: gemeinsam in Vielfalt.,What we mean by this is: together in diversity.,503,,116. Society-Education
