text,text_en,cmp_code,eu_code,party,domain
"Wir streben eine funktionierende Wirtschaft an, die aus eigener Kraft und Profitabilität in Forschung und Entwicklung investiert, um dem internationalen Markt innovative und wettbewerbsfähige Angebote zu machen.",We strive for a functioning economy that invests in research and development from its own resources and profitability in order to offer the international market innovative and competitive products.,411,,AfD,Economy
Deutsche Unternehmen sollen an der Weltspitze der Exportunternehmen stehen,German companies should be among the world's leading exporters,410,,AfD,Economy
und „Made in Germany“ wieder zu einem Markenzeichen für Exzellenz und Einzigartigkeit machen.,"and once again make ""Made in Germany"" a trademark for excellence and uniqueness.",601.1,,AfD,Non-coded
Dafür streben wir eine auf Leistung und Talentförderung ausgelegte Schul- und Berufsausbildung an.,"To this end, we are striving for school and vocational training that is geared towards performance and talent development.",411,,AfD,Economy
"Unsere Universitäten sollen in die Lage versetzt werden, erstklassige Talente aus Deutschland und aller Welt anzuziehen und unser Land in den Top-Branchen zu einem internationalen Innovationsführer zu machen.",Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.,411,,AfD,Economy
"Dazu zählen wir neben den Traditionsbranchen wie Automobilbau, Maschinenbau, Chemie auch moderne Hochtechnologien wie Dual- Fluid-Nukleartechnik, Weltraumtechnologie, Nano-Technologie und Künstliche Intelligenz.","In addition to traditional sectors such as automotive engineering, mechanical engineering and chemicals, this also includes modern high technologies such as dual-fluid nuclear technology, space technology, nanotechnology and artificial intelligence.",411,,AfD,Economy
Deutschland ist als Wirtschaftsstandort unattraktiv geworden,Germany has become unattractive as a business location,H,,AfD,Non-coded
Deutschland ragte in früheren Jahrzehnten international heraus durch wirtschaftliche und wissenschaftliche Exzellenz.,"In previous decades, Germany stood out internationally for its economic and scientific excellence.",601.1,,AfD,Non-coded
Die gegenwärtige Situation ist hingegen von einem wirtschaftlichen,"The current situation, on the other hand, is characterized by an economic",410,,AfD,Economy
und wissenschaftlichen Niedergang geprägt.,characterized by economic and scientific decline.,411,,AfD,Economy
"Technologievorgaben, Auflagen und Verbote setzen den marktwirtschaftlichen Wettbewerb in Teilen außer Kraft; suboptimale technische Lösungen und Produkte sind die Folge.","Technology specifications, regulations and bans are partially overriding market-based competition; suboptimal technical solutions and products are the result.",401,,AfD,Economy
"Viele davon sind ohne staatliche Subventionen nicht marktfähig, zum Beispiel alternative Energien und Elektroautos.","Many of these are not marketable without state subsidies, for example alternative energies and electric cars.",401,,AfD,Economy
Viele Auflagen sind zudem mit den Ressourcen unseres Landes nicht zu vereinbaren.,"Furthermore, many requirements are incompatible with our country's resources.",401,,AfD,Economy
"Dies gilt für den eingeschränkten Zugang zu Rohstoffen wie seltene Erden für alternative Energien und Antriebe, zu preiswerter fossiler oder nuklearer Energie genauso wie für gut ausgebildete in- und ausländische Fachkräfte.","This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.",401,,AfD,Economy
Unsere Schulbildung erfolgt nicht mehr nach dem Leistungsprinzip.,Our school education is no longer based on the principle of performance.,506,,AfD,Welfare & Quality
Auch mangelt es an Basiswissen in Mathematik und Deutsch am Ende der Grundschule.,There is also a lack of basic knowledge in mathematics and German at the end of elementary school.,506,,AfD,Welfare & Quality
"Dies setzt sich im weiteren Schulverlauf fort, wodurch zahlreiche Schulabgänger nicht mehr ausbildungsfähig sind.","This continues in the further course of schooling, which means that many school leavers are no longer able to train.",411,,AfD,Economy
"Während fast alle anderen Länder ihre Schulleistungen verbessern konnten, ist das einst führende Deutschland im weltweiten Vergleich auf ein mittleres Niveau zurückgefallen.","While almost all other countries have been able to improve their school performance, Germany, once the world leader, has fallen back to a mediocre level.",506,,AfD,Welfare & Quality
Nachfolgende Generationen sind so nicht mehr international wettbewerbsfähig.,"As a result, future generations are no longer internationally competitive.",506,,AfD,Welfare & Quality
Für gut ausgebildete Fachkräfte aus dem In- und Ausland ist Deutschland nicht mehr attraktiv:,Germany is no longer attractive for well-educated skilled workers from Germany and abroad:,411,,AfD,Economy
"Zu abschreckend sind hohe Steuern und Abgaben,","High taxes and duties are too much of a deterrent,",401,,AfD,Economy
"mangelnde Sicherheit im öffentlichen Raum,","a lack of security in public spaces,",605.1,,AfD,Non-coded
"unzureichende Schulbildung in öffentlichen Schulen,","inadequate education in public schools,",506,,AfD,Welfare & Quality
"knapper, teurer Wohnraum","scarce, expensive housing",403,,AfD,Economy
sowie geringe Chancen auf Eigentumsbildung,and few opportunities for property ownership,401,,AfD,Economy
und eine auskömmliche Alterssicherung.,and adequate pension provision,504,,AfD,Welfare & Quality
"Deutsche Unternehmenssteuern sind im internationalen Vergleich zu hoch und hindern unsere Unternehmen daran, dringend benötigte Zukunftsinvestitionen vorzunehmen.",German corporate taxes are too high by international standards and prevent our companies from making urgently needed investments in the future.,402,,AfD,Economy
Das kaum noch zu überblickende Ausmaß an Regulierung und Verboten senkt die Attraktivität unseres Wirtschaftsstandorts für in- und ausländische Investoren.,The almost unmanageable extent of regulation and prohibitions reduces the attractiveness of our business location for domestic and foreign investors.,401,,AfD,Economy
Eine fortschrittliche wirtschaftliche Entwicklung wird dadurch zusätzlich erschwert.,This makes progressive economic development even more difficult.,410,,AfD,Economy
So fließt seit einigen Jahren viel mehr Investitionskapital aus Deutschland heraus als hereinfließt.,"For some years now, much more investment capital has been flowing out of Germany than is flowing in.",410,,AfD,Economy
Vor allem für Mittelstand,Especially for SMEs,704,,AfD,Social Groups
und Landwirtschaft sind die strangulierenden Vorgaben der Politik nicht mehr zu bewältigen.,and agriculture can no longer cope with the stifling requirements of politics.,703.1,,AfD,Non-coded
Viele Betriebe geben auf oder suchen neue Chancen im Ausland.,Many companies are giving up or looking for new opportunities abroad.,401,,AfD,Economy
"Die immense Steuer- und Abgabenlast führt in Teilbereichen der Wirtschaft vermehrt zu Schwarzarbeit, schwarzen Kassen und Lohndumping in verschachtelten Subunternehmer-Pyramiden.","The immense tax and duty burden is increasingly leading to undeclared work, black funds and wage dumping in convoluted subcontractor pyramids in some areas of the economy.",402,,AfD,Economy
Dadurch entsteht an Staat und Steuer vorbei eine Parallelwirtschaft in einer Größenordnung von Hunderten Milliarden.,"This creates a parallel economy worth hundreds of billions, bypassing the state and tax authorities.",605.1,,AfD,Non-coded
Vorrang für den Wettbewerb – für einen attraktiven Wirtschaftsstandort,Priority for competition - for an attractive business location,H,,AfD,Non-coded
Staatliche Eingriffe in den Markt werden wir auf ein Minimum reduzieren.,We will reduce state intervention in the market to a minimum.,401,,AfD,Economy
"Wir sorgen stattdessen für Rahmenbedingungen, die Deutschland wieder attraktiv machen und unsere internationale Wettbewerbsfähigkeit wieder herstellen.","Instead, we will create framework conditions that make Germany attractive again and restore our international competitiveness.",410,,AfD,Economy
"Damit Unternehmer an die Zukunft des Standorts Deutschland glauben können, werden wir den Zugang zu sicherer und bezahlbarer Energie wiederherstellen durch:","So that entrepreneurs can believe in the future of Germany as a business location, we will restore access to secure and affordable energy by",402,,AfD,Economy
Verlängerung der Laufzeiten der Kohlekraftwerke,Extending the lifetimes of coal-fired power plants,411,,AfD,Economy
Wiedereinstieg in die Nutzung der Kernenergie,Returning to the use of nuclear energy,411,,AfD,Economy
Reparatur und Wiederinbetriebnahme der Nord-Stream-Pipelines,Repairing and recommissioning the Nord Stream pipelines,411,,AfD,Economy
Aufhebung des Verbots von Gas- und Ölheizungen,Lifting the ban on gas and oil heating systems,401,,AfD,Economy
Abschaffung der CO₂-Abgabe,Abolishing the CO₂ levy,401,,AfD,Economy
Reduzierung der Energiesteuer und Senkung der Stromsteuer auf das Minimum,Reducing energy tax and cutting electricity tax to the minimum,402,,AfD,Economy
Verhinderung immer höherer Netzentgelte durch Windenergie-Ausbaustopp,Preventing ever higher grid fees by stopping the expansion of wind energy,403,,AfD,Economy
Strangulierende Bürokratie und wettbewerbsverzerrende Vorschriften reduzieren wir durch:,We will reduce stifling bureaucracy and competition-distorting regulations by:,401,,AfD,Economy
Abschaffung von Lieferkettensorgfaltsgesetz und EU-Lieferkettenrichtlinie,Abolishing the Supply Chain Act and the EU Supply Chain Directive Abolishing,401,,AfD,Economy
Abschaffung des Verpackungsgesetzes,the Packaging Act,401,,AfD,Economy
Abbau der Nachhaltigkeitsberichterstattung,Reducing sustainability reporting,401,,AfD,Economy
Vereinfachung der Datenschutzgrundverordnung,Simplifying the General Data Protection Regulation,303,,AfD,Political System
Vereinfachung des Vergaberechts,Simplifying public procurement law,303,,AfD,Political System
"drastische Reduzierung von Vorschriften, Berichts- und Dokumentationspflichten für Mittelstand","Drastically reducing regulations, reporting and documentation requirements for SMEs",704,,AfD,Social Groups
und Landwirte,and farmers,703.1,,AfD,Non-coded
Aufhebung des Verbrennerverbots und der unerreichbaren Flottengrenzwerte,Repealing the ban on combustion engines and the unattainable fleet limits,401,,AfD,Economy
Wiedereinführung des ermäßigten Umsatzsteuersatzes in der Gastronomie,Reintroducing the reduced VAT rate in the catering sector,402,,AfD,Economy
Die deutsche Infrastruktur modernisieren wir durch:,We are modernizing Germany's infrastructure by:,411,,AfD,Economy
"planvolle, kontinuierliche Sanierung von Straßen, Schienenwegen und Brücken","planned, continuous renovation of roads, railroads and bridges",411,,AfD,Economy
Beschleunigung notwendiger Neuinvestitionen durch Vereinfachung von Planungs- und Genehmigungsverfahren,accelerating necessary new investments by simplifying planning and approval procedures,411,,AfD,Economy
Beschleunigung des Ausbaus der digitalen Infrastruktur,accelerating the expansion of digital infrastructure,411,,AfD,Economy
Vorantreiben der Digitalisierung der Verwaltung,advancing the digitalization of administration,303,,AfD,Political System
"ein KMU-freundliches Weltraumgesetz, das unsere Möglichkeiten im All voranbringt",an SME-friendly space law that advances our opportunities in space,411,,AfD,Economy
"Den internationalen Handel fördern wir, indem wir:",We promote international trade by:,407,,AfD,Economy
den Austausch mit anderen Märkten erleichtern und intensivieren,facilitating and intensifying exchange with other markets,407,,AfD,Economy
vorhandene Handelshemmnisse beseitigen,removing existing trade barriers,407,,AfD,Economy
"vorteilhafte Handelsabkommen für unser Land abschließen, die dazu beitragen, unsere Rohstofflieferketten zu sichern",concluding advantageous trade agreements for our country that help to secure our raw material supply chains,407,,AfD,Economy
wirtschaftsschädliche Sanktionen beenden,ending sanctions that are harmful to the economy,401,,AfD,Economy
Aufhebung des CO₂-Grenzausgleichs,abolishing the CO₂ border adjustment,401,,AfD,Economy
Mehr Netto vom Brutto schaffen wir durch:,creating more net from gross by:,701,,AfD,Social Groups
Senkung der Einkommensteuer durch einen deutlich höheren Grundfreibetrag,Reducing income tax through a significantly higher basic tax-free allowance Reducing,701,,AfD,Social Groups
Senkung der Unternehmenssteuern auf ein international konkurrenzfähiges Niveau,corporate taxes to an internationally competitive level,402,,AfD,Economy
Abschaffung des Solidaritätszuschlags für alle,Abolishing the solidarity surcharge for everyone,401,,AfD,Economy
Mehr kluge Köpfe und Ideen gewinnen wir durch:,Attracting more bright minds and ideas through:,411,,AfD,Economy
"Rückkehr zu erstklassiger Bildung, Ausbildung, Forschung und Wissenschaft","return to first-class education, training, research and science",411,,AfD,Economy
einen Stopp der Abwanderung heimischer Fachkräfte,A stop to the brain drain from Germany,411,,AfD,Economy
"und die Zurückgewinnung Ausgewanderter durch attraktive Rahmenbedingungen für Arbeit,","and the recruitment of emigrants through attractive framework conditions for work,",701,,AfD,Social Groups
"Vermögensbildung,","wealth creation,",401,,AfD,Economy
Ausbildung,training,411,,AfD,Economy
und Sicherheit,and security,605.1,,AfD,Non-coded
"die Bereitstellung eines zusätzlichen Steuerfreibetrags für Rentner, um Senioren im Arbeitsmarkt zu halten",the provision of an additional tax allowance for pensioners to keep senior citizens in the labour market,701,,AfD,Social Groups
"unser Konzept „Aktivierende Grundsicherung“, mit dem wir hunderttausende arbeitsfähige Bürgergeldempfänger in den Arbeitsmarkt zurückbringen","our ""Activating Basic Security"" concept, with which we bring hundreds of thousands of employable recipients of citizens' income back into the labour market",505,,AfD,Welfare & Quality
den Umstieg von Technologieverboten auf Technologieoffenheit,the switch from technology bans to technology openness,411,,AfD,Economy
"Eigenverantwortung der Bürger stärken, Handlungsspielräume vergrößern","Strengthening citizens' personal responsibility, increasing scope for action",H,,AfD,Non-coded
Eigenverantwortung als Einstehen für die Folgen des eigenen Handelns ist ein unverzichtbares Merkmal jeder freien Gesellschaft und gleichzeitig unabdingbarer Bestandteil der Menschenwürde – auch im Bereich der wirtschaftlichen und sozialen Teilhabe.,Personal responsibility as taking responsibility for the consequences of one's own actions is an indispensable feature of every free society and at the same time an indispensable component of human dignity - also in the area of economic and social participation.,201.1,,AfD,Non-coded
Ausgangspunkt für die Stärkung der Eigenverantwortung ist für uns neben der Stärkung des familiären Lebens,"For us, the starting point for strengthening personal responsibility, in addition to strengthening family life, is",603,,AfD,Social Fabric
"eine umfassende Schulbildung, die unsere jungen Bürger zu gut gebildeten und kritischen Mitgliedern unserer Gesellschaft macht,","a comprehensive school education that turns our young citizens into well-educated and critical members of our society,",506,,AfD,Welfare & Quality
den Grundstein für eine erfolgreiche berufliche Entwicklung legt,lays the foundation for successful professional development,411,,AfD,Economy
und sie zur Mitwirkung in Staat und Ehrenamt befähigt.,and enables them to participate in government and voluntary work.,606.1,,AfD,Non-coded
Unser Verständnis von Bildung schließt neben geistigen Fähigkeiten und handwerklichem Können auch soziale Kompetenz mit ein.,Our understanding of education includes social skills as well as intellectual abilities and manual skills.,506,,AfD,Welfare & Quality
Unsere Bürger im Mehltau des linken Zeitgeistes,Our citizens in the mildew of the left-wing zeitgeist,H,,AfD,Non-coded
Die Stimmung der Bürger unseres Landes ist heute von Verunsicherung und Pessimismus geprägt: Unsicherheit durch bürgerferne Politik;,The mood of our country's citizens today is characterized by uncertainty and pessimism: insecurity due to politics far removed from the people;,202.1,,AfD,Non-coded
"Unsicherheit darüber, was man noch sagen darf;",uncertainty about what can still be said;,201.1,,AfD,Non-coded
Unsicherheit über die Sicherheit in unseren Städten;,uncertainty about safety in our cities;,605.1,,AfD,Non-coded
Angst vor einem großen Krieg,fear of a major war,106,,AfD,External Relations
und Sorge um die finanzielle Zukunft.,and concern about the financial future.,503,,AfD,Welfare & Quality
Maßgeblich dazu beigetragen hat die bewusste Panikmache der Regierung während der Corona-Pandemie.,The government's deliberate scaremongering during the coronavirus pandemic has contributed significantly to this.,305.1,,AfD,Non-coded
"Der Ukrainekrieg, die angeblich existenzbedrohende Klimakrise und die exorbitante Verteuerung der Lebenshaltung in den letzten Jahren haben vielen Bürgern den Zukunftsoptimismus genommen.","The war in Ukraine, the allegedly existentially threatening climate crisis and the exorbitant rise in the cost of living in recent years have robbed many citizens of their optimism about the future.",305.1,,AfD,Non-coded
"Nicht nur Wirtschaftsunternehmen, auch viele unserer Leistungsträger haben das Vertrauen in die aktuelle Politik und den Standort Deutschland verloren.","Not only commercial enterprises, but also many of our top performers have lost confidence in current politics and Germany as a business location.",402,,AfD,Economy
Unsere Maßnahmen für starke Bürger,Our measures for strong citizens,H,,AfD,Non-coded
"Wir wollen selbstbewusste und kritische Bürger, die ihre demokratischen Rechte kompetent wahrnehmen,",We want self-confident and critical citizens who exercise their democratic rights competently,202.1,,AfD,Non-coded
und möchten deshalb die Bürger durch staatliche Vorgaben nicht unnötig einschränken.,and therefore do not want to unnecessarily restrict citizens through government regulations.,201.1,,AfD,Non-coded
"Diese Ziele wollen wir verwirklichen durch: Wiederherstellung eines funktionierenden, politisch neutralen Bildungswesens als Ort der Vorbereitung auf den späteren Leistungswettbewerb,","We want to achieve these goals byRestoring a functioning, politically neutral education system as a place to prepare for later competition on merit,",506,,AfD,Welfare & Quality
"Vermittlung praxisorientierter Kenntnisse in den Bereichen Sozialversicherungen, Wirtschaft und Geldanlage bereits in der Schule,","teaching practical knowledge in the areas of social insurance, economics and investment at school,",506,,AfD,Welfare & Quality
"grundlegende, vereinfachende Reformen zur besseren Verständlichkeit des Steuer- und Sozialsystems,","fundamental, simplifying reforms to make the tax and social system easier to understand,",303,,AfD,Political System
"Senkung der Steuer- und Abgabenlast zur Erweiterung des finanziellen Handlungsspielraums der Bürger,","Reduction of the tax and contribution burden to increase citizens' financial scope for action,",401,,AfD,Economy
"Förderung von Selbständigkeit und Unternehmensgründungen unter anderem durch Abbau von Vorschriften auf das notwendige Minimum,","promotion of self-employment and business start-ups, including by reducing regulations to the necessary minimum,",402,,AfD,Economy
"erweiterte steuerliche Absetzbarkeit für die private, kapitalgedeckte Altersvorsorge,","extended tax deductibility for private, funded pension provision,",505,,AfD,Welfare & Quality
Förderung der privaten Vermögensbildung,promotion of private wealth creation,401,,AfD,Economy
und des privaten Wohneigentums.,and private home ownership.,401,,AfD,Economy
Zweckentfremdung der Sozialversicherungen beenden,End the misappropriation of social security funds,H,,AfD,Non-coded
"Während die Sozialversicherungen (Renten-, Kranken-, Pflege-, Arbeitslosenversicherung) durch Beiträge von Arbeitnehmern finanziert werden, sind Sozialleistungen eine durch Steuern finanzierte Unterstützungsleistung.","While social insurance schemes (pension, health, long-term care and unemployment insurance) are financed by employee contributions, social benefits are a support service financed by taxes.",414,,AfD,Economy
"Versicherungsfremde Leistungen sind daher nicht aus den Beiträgen zu den Sozialversicherungen, sondern aus dem Bundeshaushalt zu finanzieren.","Non-insurance benefits are therefore not to be financed from social insurance contributions, but from the federal budget.",414,,AfD,Economy
"Dennoch wurde die Sanierung des Haushalts 2024 zum Teil aus den Sozialversicherungen finanziert, wie die Bewältigung von Coronamaßnahmen unter Rückgriff auf die Pflegekasse, was einen klaren Missbrauch der dem Staat anvertrauten Sozialversicherungsbeiträge darstellt.","Nevertheless, the restructuring of the 2024 budget was financed in part from social security contributions, such as the management of coronavirus measures with recourse to the long-term care fund, which is a clear misuse of the social security contributions entrusted to the state.",504,,AfD,Welfare & Quality
Durch das Beenden dieser Zweckentfremdung können Leistungen erhöht oder die Beiträge gesenkt werden.,"By putting an end to this misappropriation, benefits can be increased or contributions reduced.",504,,AfD,Welfare & Quality
"Für die Rentenversicherung bedeutet die Übernahme der nicht beitragsgedeckten Leistungen durch den Bundeshaushalt, dass allein dadurch knapp zwölf Prozent höhere Mittel für die Rentenfinanzierung zur Verfügung stünden.","For pension insurance, the assumption of non-contribution-covered benefits by the federal budget means that almost twelve percent more funds would be available for pension financing as a result of this alone.",504,,AfD,Welfare & Quality
UNSER KONZEPT FÜR EINE FAIRE UND AUSKÖMMLICHE RENTENVERSICHERUNG,OUR CONCEPT FOR FAIR AND ADEQUATE PENSION INSURANCE,H,,AfD,Non-coded
"Wir streben eine Rentenversicherung an, mit der Erwerbstätige sich wieder einen finanziell gesicherten Lebensabend erarbeiten können.",We are striving for a pension insurance scheme that will once again enable working people to enjoy a financially secure retirement.,504,,AfD,Welfare & Quality
"Wir halten es dabei für zwingend erforderlich, auch unseren derzeitigen Senioren, die in einem langen Arbeitsleben unser Land und unseren Wohlstand aufgebaut haben, einen Lebensabend in Würde zu ermöglichen.","We believe it is imperative that we also enable our current senior citizens, who have built up our country and our prosperity over a long working life, to enjoy a dignified retirement.",504,,AfD,Welfare & Quality
Dazu gehört vor allem eine signifikante Erhöhung ihrer Renten.,"This includes, above all, a significant increase in their pensions.",504,,AfD,Welfare & Quality
"Unser ferneres Ziel ist es, in mehreren Schritten das durchschnittliche Rentenniveau der westeuropäischen Länder zu erreichen, das nach Rechnung der EU (Eurostat) derzeit bei gut 70 Prozent des letzten Nettoeinkommens und damit deutlich höher liegt als das deutsche.","Our long-term goal is to achieve the average pension level of Western European countries in several steps, which, according to EU calculations (Eurostat), is currently a good 70 percent of the last net income and therefore significantly higher than the German level.",504,,AfD,Welfare & Quality
Die desolate Situation im deutschen Rentensystem,The desolate situation in the German pension system,H,,AfD,Non-coded
Das deutsche Rentenniveau ist mit nur 53 % des letzten Nettogehalts nach Eurostat eines der niedrigsten in Westeuropa.,"According to Eurostat, the German pension level is one of the lowest in Western Europe at just 53% of the last net salary.",504,,AfD,Welfare & Quality
Dieses Niveau bedeutet für einen großen Teil der Rentner bittere Altersarmut.,This level means abject poverty in old age for a large proportion of pensioners.,504,,AfD,Welfare & Quality
"In Österreich etwa bezieht ein Arbeitnehmer mit Durchschnittslohn nach 45 Arbeitsjahren eine Rente von 2.600 €, ein vergleichbarer Rentner in Deutschland magere 1.500 €.","In Austria, for example, an employee with an average salary receives a pension of € 2,600 after 45 years of work, while a comparable pensioner in Germany receives a meagre € 1,500.",504,,AfD,Welfare & Quality
"Schaut man sich die Differenz zwischen den beiden Renten an, so entstehen etwa 30 % des Unterschieds durch die höheren Rentenbeiträge in Österreich.","If you look at the difference between the two pensions, around 30% of the difference is due to the higher pension contributions in Austria.",504,,AfD,Welfare & Quality
"Weitere 30 % werden generiert, weil in Österreich auch Bevölkerungsgruppen in die Rentenkasse einzahlen, die bei uns davon befreit sind, z. B. Politiker und Beamte.","A further 30% is generated because groups of the population in Austria also pay into the pension fund that are exempt here, e.g. politicians and civil servants.",504,,AfD,Welfare & Quality
Weitere 15 % werden durch höhere Staatszuschüsse erzielt.,A further 15% is generated by higher state subsidies.,504,,AfD,Welfare & Quality
Lediglich die etwas jüngere Bevölkerungsstruktur lässt sich kurzfristig nicht kopieren.,Only the somewhat younger population structure cannot be copied in the short term.,504,,AfD,Welfare & Quality
Durch sie entstehen die restlichen 25 % des Unterschieds.,This accounts for the remaining 25% of the difference.,504,,AfD,Welfare & Quality
Das heißt aber auch: Eine ähnlich hohe Rente wie in Österreich ist langfristig auch bei uns möglich.,"However, this also means that a pension similar to that in Austria is also possible here in the long term.",504,,AfD,Welfare & Quality
Unser Rentenkonzept gegen Altersarmut,Our pension concept against poverty in old age,H,,AfD,Non-coded
"Wir wollen der Rentenversicherung mehr Beitragszahler zuführen,","We want to bring more contributors into the pension insurance system,",504,,AfD,Welfare & Quality
die Verrentung flexibler und gerechter gestalten,make retirement more flexible and fairer,503,,AfD,Welfare & Quality
"und Anreize für eine freiwillige Verlängerung der Lebensarbeitszeit setzen, indem wir:",and create incentives for a voluntary extension of working life by:,505,,AfD,Welfare & Quality
"Verbeamtungen nur noch für diejenigen vorsehen, die mit Hoheitsaufgaben betraut sind, so dass die große Mehrheit der Staatsbediensteten in die Rentenversicherung einzahlt,","Providing for civil servants only for those entrusted with sovereign tasks, so that the vast majority of state employees pay into the pension insurance scheme,",504,,AfD,Welfare & Quality
"Politiker in die gesetzliche Rentenversicherung einbeziehen,","Including politicians in the statutory pension insurance scheme,",504,,AfD,Welfare & Quality
"ein flexibles Renteneintrittsalter, abschlagsfrei nach 45 beitragsberechtigten Arbeitsjahren, ermöglichen,","Enabling a flexible retirement age, without deductions after 45 years of contributory employment,",504,,AfD,Welfare & Quality
"alle nicht beitragsgedeckten Leistungen mittelfristig aus dem Bundeshaushalt finanzieren,","Financing all non-contributory benefits from the federal budget in the medium term,",504,,AfD,Welfare & Quality
"das Fremdrentenrecht in Anbetracht der systematischen Benachteiligung von Spätaussiedlern reformieren,",reform foreign pension law in view of the systematic discrimination against ethnic German immigrants,503,,AfD,Welfare & Quality
die anstehenden Rentenbeitragsanhebungen durch Steuersenkungen für Beschäftigte,the upcoming increases in pension contributions with tax cuts for employees,701,,AfD,Social Groups
"und Unternehmen ausgleichen,","and companies,",402,,AfD,Economy
"die Zuverdienste von Witwen und Witwern nicht auf die Hinterbliebenenrente anrechnen,","do not count the additional earnings of widows and widowers towards the surviving dependants' pension,",504,,AfD,Welfare & Quality
die Elternschaft bei der Rente höher vergüten.,pay higher pensions for parenthood.,504,,AfD,Welfare & Quality
Die Chancen des Kapitalmarktes nutzen,Using the opportunities of the capital market,H,,AfD,Non-coded
Die Chancen des Kapitalmarktes zur Sicherung unserer Renten wurden in den letzten Jahrzehnten sträflich vernachlässigt.,The opportunities offered by the capital market to secure our pensions have been criminally neglected in recent decades.,505,,AfD,Welfare & Quality
"Die AfD setzt sich dafür ein, dass die individuelle private wie auch betriebliche Altersvorsorge bspw. mit Aktien, ETFs und herkömmlichen Fonds endlich systematisch steuerlich gefördert wird.","The AfD is committed to ensuring that individual private and company pension schemes, for example with shares, ETFs and conventional funds, are finally systematically promoted through taxation.",505,,AfD,Welfare & Quality
Dazu wollen wir von den erfolgreichen Modellen anderer Länder lernen und deren bewährte Konzepte an unsere Bedürfnisse anpassen.,"To this end, we want to learn from the successful models of other countries and adapt their proven concepts to our needs.",505,,AfD,Welfare & Quality
Die hochbürokratischen und komplexen bisherigen Modelle der Vorsorgeförderung wollen wir dabei ablösen.,We want to replace the highly bureaucratic and complex previous models of pension promotion.,303,,AfD,Political System
Einführung eines „Junior-Spardepots“,"Introduction of a ""junior savings account""",H,,AfD,Non-coded
"Das „Junior-Spardepot“ ergänzt das bestehende Altersvorsorgesystem um eine aus Steuermitteln finanzierte, kapitalgedeckte Altersvorsorge.","The ""Junior Savings Deposit"" supplements the existing pension system with a tax-financed, funded pension scheme.",504,,AfD,Welfare & Quality
